name (n,comparisons,depth,time_ms)
MergeSort (10,28,2,0.0102)
MergeSort (100,571,5,0.5136)
MergeSort (1000,9113,8,1.0006)
QuickSort (10,22,3,0.0148)
QuickSort (100,597,5,0.4147)
QuickSort (1000,10628,7,0.7991)
DeterministicSelect (10,50,2,0.0145)
DeterministicSelect (100,419,3,0.8201)
DeterministicSelect (1000,8777,5,0.8656)
ClosestPair (10,9,3,0.3703)
ClosestPair (100,123,7,0.2335)
ClosestPair (1000,1145,10,5.7686)
MergeSort (1000,9093,8,1.2669)
MergeSort (1000,9042,8,1.0577)
MergeSort (1000,9183,8,1.3489)
MergeSort (100,583,5,0.0611)
MergeSort (10,26,2,0.0066)
MergeSort (1000,9114,8,0.6551)
QuickSort (100,675,5,0.1119)
QuickSort (10,24,3,0.0278)
QuickSort (1000,11072,7,0.4511)
DeterministicSelect (100,922,3,0.7794)
DeterministicSelect (10,33,2,0.0074)
DeterministicSelect (1000,8834,5,0.7363)
MergeSort (100,566,5,0.0658)
MergeSort (10,22,2,0.0067)
MergeSort (1000,9115,8,0.6804)
QuickSort (100,615,5,0.0786)
QuickSort (10,26,3,0.0101)
QuickSort (1000,11004,7,0.9437)
DeterministicSelect (100,834,3,0.9982)
DeterministicSelect (10,55,2,0.0177)
DeterministicSelect (1000,4509,5,0.3077)
DeterministicSelect (100,823,3,0.7989)
DeterministicSelect (10,35,2,0.015)
DeterministicSelect (1000,8721,5,0.6427)
DeterministicSelect (100,791,3,0.4779)
DeterministicSelect (10,53,2,0.0188)
DeterministicSelect (1000,8711,5,0.7664)
DeterministicSelect (100,785,3,0.456)
DeterministicSelect (10,26,2,0.0102)
DeterministicSelect (1000,8307,5,0.7181)
DeterministicSelect (100,763,3,0.4319)
DeterministicSelect (10,38,2,0.0141)
DeterministicSelect (1000,8529,5,0.8578)
DeterministicSelect (100,785,3,0.6952)
DeterministicSelect (10,59,2,0.0192)
DeterministicSelect (1000,8831,5,0.7876)
DeterministicSelect (100,792,3,0.4524)
DeterministicSelect (10,57,2,0.0248)
DeterministicSelect (1000,8804,5,0.9067)
DeterministicSelect (100,409,3,0.5178)
DeterministicSelect (10,53,2,0.0223)
DeterministicSelect (1000,7258,5,0.6282)
ClosestPair (10,9,3,0.5079)
ClosestPair (1000,1144,10,5.5758)
ClosestPair (100,123,7,0.2615)
ClosestPair (10,12,3,0.4294)
ClosestPair (1000,1125,10,5.1613)
ClosestPair (100,133,7,0.2608)
ClosestPair (10,12,3,0.9209)
ClosestPair (1000,1112,10,6.0671)
ClosestPair (100,128,7,0.2489)
ClosestPair (10,10,3,0.5964)
ClosestPair (1000,1139,10,5.2975)
ClosestPair (100,133,7,0.2929)
ClosestPair (10,8,3,0.5014)
ClosestPair (1000,1115,10,4.7513)
ClosestPair (100,130,7,0.2538)
ClosestPair (10,9,3,0.4389)
ClosestPair (1000,1117,10,4.9748)
ClosestPair (100,126,7,0.245)
ClosestPair (10,12,3,0.7223)
ClosestPair (1000,1112,10,5.6861)
ClosestPair (100,128,7,0.2649)
ClosestPair (10,12,3,0.6127)
ClosestPair (1000,1135,10,5.9579)
ClosestPair (100,124,7,0.2546)
ClosestPair (10,11,3,0.6919)
ClosestPair (1000,1142,10,5.6045)
ClosestPair (100,130,7,0.2391)
ClosestPair (10,10,3,0.689)
ClosestPair (1000,1105,10,5.9542)
ClosestPair (100,125,7,0.2905)
ClosestPair (10,15,3,0.5093)
ClosestPair (1000,1096,10,5.0747)
ClosestPair (100,130,7,0.3004)
